"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta_p[1]",-7.34687692659544,0.439570146094132,-8.18868055674951,-7.35781646629357,-6.45466742305866,1.06,147
"beta_p[2]",0.308811044660256,0.408882446229419,-0.539919995846266,0.314046743356034,1.08655432529767,1.03,308
"beta_p[3]",0.604873795822262,0.242650034067952,0.135704176143607,0.60321932083337,1.08827919482577,1.05,460
"beta_p[4]",0.0275997087520119,0.122578665170261,-0.213809674609742,0.0265624108520513,0.269108255064733,1,8691
"beta_p[5]",0.297830260570951,0.0976500915442724,0.108357474682433,0.296613053452848,0.491497417925486,1,5935
"beta_p[6]",1.43029660057116,0.100558140061516,1.23459555153717,1.42931629495566,1.62986466388597,1,5799
"beta_p[7]",0.634741645236231,0.156456935456417,0.326344476746739,0.636772479484554,0.934948942463968,1.02,536
"beta_p[8]",0.66720283469706,0.151345929483881,0.369295837730751,0.670049211502859,0.96114161156221,1.03,420
"beta_p[9]",0.741839804318467,0.153089898797892,0.440811413557778,0.740970522511169,1.04137752929121,1.02,580
"beta_p[10]",1.1736353975864,0.11019511952948,0.952622513188657,1.17488889817945,1.38519682753535,1.02,561
"beta_psi[1]",-0.91640745634924,0.897378676180132,-3.00806662479594,-0.9049099182615,0.753064507373857,1.4,28
"beta_psi[2]",-0.578804036051526,0.389631942812613,-1.3329294922591,-0.581703458255347,0.221483820563894,1.09,84
"beta_psi[3]",1.70105069128104,0.972333873542832,-0.0394151510789795,1.67917485641327,4.33091555372923,1.2,24
"beta_psi[4]",-0.413767462514328,0.312767491455178,-1.02781809621843,-0.416985938087677,0.195832211894228,1.03,283
"beta_psi[5]",0.51139613334016,0.330684737233598,-0.144626926555322,0.512121583803827,1.15564868460224,1.04,319
"beta_psi[6]",-0.687188817245276,0.304996028620343,-1.30544441687693,-0.67600172246871,-0.100900843970321,1.04,262
"beta_psi[7]",-2.11521730283044,0.358226395377321,-2.80994284009001,-2.11768389418489,-1.42486492690664,1.05,136
"sigma_p",1.80359941201246,0.251201041036448,1.34028725402635,1.79477757397455,2.31976567862869,1.05,188
"sigma_psi",2.39651866289559,0.53727202368977,1.44274075173903,2.37105865743453,3.52488908759022,1.13,107
