"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta_p[1]",-6.76925404337264,0.404324194796942,-7.52147396864159,-6.78215323459434,-5.90808449337303,1.01,174
"beta_p[2]",0.359098724107288,0.372289757857635,-0.394970978703614,0.354050563829922,1.08415702854599,1.01,384
"beta_p[3]",0.53319347997055,0.228399145112014,0.0745097633471095,0.537856474252968,0.982325041438963,1.01,527
"beta_p[4]",0.0124698114959158,0.122294548641515,-0.226661375860732,0.0117103147092306,0.252002690845856,1,7450
"beta_p[5]",0.153252391080051,0.0958873026551013,-0.0333386270302087,0.152377316629349,0.342922001981066,1,5089
"beta_p[6]",1.40701780220042,0.0998607776832697,1.21101346971509,1.40651626209414,1.60314348873087,1,5436
"beta_p[7]",0.171653015559058,0.11586938750602,-0.0544700270615155,0.171790488551319,0.401608475520001,1,1054
"beta_p[8]",-0.0290081067686243,0.251182367058212,-0.525914090239005,-0.0263007200135804,0.462433198985302,1,5110
"beta_p[9]",0.389195299324941,0.115098484800936,0.164273123383946,0.389277198995374,0.613142783539704,1,1196
"beta_p[10]",1.07748747010307,0.124460788861841,0.820221102113332,1.08177634256248,1.30668175889371,1.02,250
"beta_psi[1]",1.3576349480511,0.782584603722609,-0.271539477795871,1.40895295147967,2.73498866065204,1.29,24
"beta_psi[2]",-0.549190309616173,0.327164153089148,-1.20405370989548,-0.544766354445881,0.137364289768732,1.06,98
"beta_psi[3]",-0.783728652498236,0.751864662520242,-2.35440028260813,-0.697693553389844,0.507076949925529,1.24,23
"beta_psi[4]",-0.391162172229178,0.214724618480972,-0.8057478334008,-0.392247447484053,0.0289337344531096,1.01,610
"beta_psi[5]",0.869648310268848,0.528243966197119,-0.110611924359037,0.847218035627011,1.98589136849732,1,2183
"beta_psi[6]",-0.826693010780256,0.215891110269404,-1.25136816018674,-0.825343677855234,-0.404365235883582,1.02,560
"beta_psi[7]",-1.81053849450804,0.377465857906136,-2.50359242498138,-1.82735501506111,-1.06346388770531,1.08,102
"sigma_p",1.68652666701759,0.229913246980922,1.24656730111884,1.68286364164461,2.14535564664144,1,180
"sigma_psi",2.02820788286499,0.43359947702785,1.27395170999124,2.00008308774598,2.921366049047,1.07,111
