"resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"Pseudognaphalium biolettii","Asteraceae","Pseudognaphalium","biolettii","Pseudognaphalium biolettii","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"Pseudognaphalium californicum","Asteraceae","Pseudognaphalium","californicum","Pseudognaphalium californicum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,NA
"Pseudognaphalium luteoalbum","Asteraceae","Pseudognaphalium","luteoalbum","Pseudognaphalium luteoalbum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"Pseudognaphalium microcephalum","Asteraceae","Pseudognaphalium","microcephalum","Pseudognaphalium microcephalum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Pseudognaphalium ramosissimum","Asteraceae","Pseudognaphalium","ramosissimum","Pseudognaphalium ramosissimum","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Pseudognaphalium stramineum","Asteraceae","Pseudognaphalium","stramineum","Pseudognaphalium stramineum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Psilocarphus tenellus","Asteraceae","Psilocarphus","tenellus","Psilocarphus tenellus","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Rafinesquia californica","Asteraceae","Rafinesquia","californica","Rafinesquia californica","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Senecio aphanactis","Asteraceae","Senecio","aphanactis","Senecio aphanactis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,NA
"Senecio flaccidus","Asteraceae","Senecio","flaccidus","Senecio flaccidus var. douglasii","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Senecio glomeratus","Asteraceae","Senecio","glomeratus","Senecio glomeratus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Senecio vulgaris","Asteraceae","Senecio","vulgaris","Senecio vulgaris","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Solidago velutina","Asteraceae","Solidago","velutina","Solidago velutina subsp. californica","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Sonchus asper","Asteraceae","Sonchus","asper","Sonchus asper subsp. asper","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA
"Sonchus oleraceus","Asteraceae","Sonchus","oleraceus","Sonchus oleraceus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Stebbinsoseris heterocarpa","Asteraceae","Stebbinsoseris","heterocarpa","Stebbinsoseris heterocarpa","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Stephanomeria cichoriacea","Asteraceae","Stephanomeria","cichoriacea","Stephanomeria cichoriacea","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA
"Stephanomeria diegensis","Asteraceae","Stephanomeria","diegensis","Stephanomeria diegensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA
"Stephanomeria exigua","Asteraceae","Stephanomeria","exigua","Stephanomeria exigua ssp. coronaria","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA
"Stephanomeria virgata","Asteraceae","Stephanomeria","virgata","Stephanomeria virgata subsp. virgata","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA
"Stylocline gnaphaloides","Asteraceae","Stylocline","gnaphaloides","Stylocline gnaphaloides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Symphyotrichum chilense","Asteraceae","Symphyotrichum","chilense","Symphyotrichum chilense","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"Symphyotrichum subulatum","Asteraceae","Symphyotrichum","subulatum","Symphyotrichum subulatum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Taraxacum erythrospermum","Asteraceae","Taraxacum","erythrospermum","Taraxacum erythrospermum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Taraxacum officinale","Asteraceae","Taraxacum","officinale","Taraxacum officinale","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Tragopogon porrifolius","Asteraceae","Tragopogon","porrifolius","Tragopogon porrifolius","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Uropappus lindleyi","Asteraceae","Uropappus","lindleyi","Uropappus lindleyi","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Urospermum picroides","Asteraceae","Urospermum","picroides","Urospermum picroides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Venegasia carpesioides","Asteraceae","Venegasia","carpesioides","Venegasia carpesioides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Xanthium spinosum","Asteraceae","Xanthium","spinosum","Xanthium spinosum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Xanthium strumarium","Asteraceae","Xanthium","strumarium","Xanthium strumarium","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Berberis pinnata","Berberidaceae","Berberis","pinnata","Berberis pinnata ssp. insularis","determinate",0,1,0,"botryoid","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Amsinckia spectabilis","Boraginaceae","Amsinckia","spectabilis","Amsinckia spectabilis var. spectabilis","determinate",0,1,0,"cincinnus","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Cryptantha clevelandii","Boraginaceae","Cryptantha","clevelandii","Cryptantha clevelandii","determinate",0,1,0,"cyme","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Cryptantha leiocarpa","Boraginaceae","Cryptantha","leiocarpa","Cryptantha leiocarpa","determinate",0,1,0,"cyme","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"Cryptantha muricata","Boraginaceae","Cryptantha","muricata","Cryptantha muricata","determinate",0,1,0,"cincinnus","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Johnstonella micromeres","Boraginaceae","Johnstonella","micromeres","Johnstonella micromeres","determinate",0,1,0,"cincinnus","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"Pectocarya heterocarpa","Boraginaceae","Pectocarya","heterocarpa","Pectocarya heterocarpa","determinate",0,1,0,"spike","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Pectocarya linearis","Boraginaceae","Pectocarya","linearis","Pectocarya linearis subsp. ferocula","determinate",0,1,0,"spike","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Pectocarya penicillata","Boraginaceae","Pectocarya","penicillata","Pectocarya penicillata","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Plagiobothrys acanthocarpus","Boraginaceae","Plagiobothrys","acanthocarpus","Plagiobothrys acanthocarpus","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Plagiobothrys canescens","Boraginaceae","Plagiobothrys","canescens","Plagiobothrys canescens var. catalinensis","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Athysanus pusillus","Brassicaceae","Athysanus","pusillus","Athysanus pusillus","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Boechera hoffmannii","Brassicaceae","Boechera","hoffmannii","Boechera hoffmannii","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Brassica nigra","Brassicaceae","Brassica","nigra","Brassica nigra","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Brassica rapa","Brassicaceae","Brassica","rapa","Brassica rapa","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"Cakile maritima","Brassicaceae","Cakile","maritima","Cakile maritima","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Capsella bursa-pastoris","Brassicaceae","Capsella","bursa-pastoris","Capsella bursa-pastoris","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Cardamine californica","Brassicaceae","Cardamine","californica","Cardamine californica","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Cardamine oligosperma","Brassicaceae","Cardamine","oligosperma","Cardamine oligosperma","indeterminate",1,0,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Caulanthus lasiophyllus","Brassicaceae","Caulanthus","lasiophyllus","Caulanthus lasiophyllus","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Descurainia pinnata","Brassicaceae","Descurainia","pinnata","Descurainia pinnata","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Draba cuneifolia","Brassicaceae","Draba","cuneifolia","Draba cuneifolia","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"Erysimum insulare","Brassicaceae","Erysimum","insulare","Erysimum insulare","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Hirschfeldia incana","Brassicaceae","Hirschfeldia","incana","Hirschfeldia incana","indeterminate",1,0,0,"cluster","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Hornungia procumbens","Brassicaceae","Hornungia","procumbens","Hornungia procumbens","indeterminate",1,0,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lepidium draba","Brassicaceae","Lepidium","draba","Lepidium draba","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"Lepidium latipes","Brassicaceae","Lepidium","latipes","Lepidium latipes","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lepidium nitidum","Brassicaceae","Lepidium","nitidum","Lepidium nitidum","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Lepidium oblongum","Brassicaceae","Lepidium","oblongum","Lepidium oblongum","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"Lepidium virginicum","Brassicaceae","Lepidium","virginicum","Lepidium virginicum subsp. menziesii","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,NA
"Nasturtium officinale","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","indeterminate",1,0,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Sibara filifolia","Brassicaceae","Sibara","filifolia","Sibara filifolia","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Sinapis arvensis","Brassicaceae","Sinapis","arvensis","Sinapis arvensis","indeterminate",1,0,0,"racemose","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"Sisymbrium officinale","Brassicaceae","Sisymbrium","officinale","Sisymbrium officinale","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Thysanocarpus conchuliferus","Brassicaceae","Thysanocarpus","conchuliferus","Thysanocarpus conchuliferus","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Thysanocarpus curvipes","Brassicaceae","Thysanocarpus","curvipes","Thysanocarpus curvipes","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Thysanocarpus laciniatus","Brassicaceae","Thysanocarpus","laciniatus","Thysanocarpus laciniatus","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Turritis glabra","Brassicaceae","Turritis","glabra","Turritis glabra","indeterminate",1,0,0,"racemose","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Cylindropuntia prolifera","Cactaceae","Cylindropuntia","prolifera","Cylindropuntia prolifera","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Opuntia ficus-indica","Cactaceae","Opuntia","ficus-indica","Opuntia ficus-indica","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"Opuntia littoralis","Cactaceae","Opuntia","littoralis","Opuntia littoralis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Opuntia oricola","Cactaceae","Opuntia","oricola","Opuntia oricola","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Githopsis diffusa","Campanulaceae","Githopsis","diffusa","Githopsis diffusa ssp. diffusa","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Triodanis biflora","Campanulaceae","Triodanis","biflora","Triodanis biflora","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Lonicera hispidula","Caprifoliaceae","Lonicera","hispidula","Lonicera hispidula","determinate",0,1,0,"cluster","bilateral",0,1,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Lonicera interrupta","Caprifoliaceae","Lonicera","interrupta","Lonicera interrupta","determinate",0,1,0,"cluster","bilateral",0,1,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Symphoricarpos mollis","Caprifoliaceae","Symphoricarpos","mollis","Symphoricarpos mollis","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Cardionema ramosissimum","Caryophyllaceae","Cardionema","ramosissimum","Cardionema ramosissimum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum","Cerastium glomeratum","determinate",0,1,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Minuartia douglasii","Caryophyllaceae","Minuartia","douglasii","Minuartia douglasii","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Polycarpon depressum","Caryophyllaceae","Polycarpon","depressum","Polycarpon depressum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unavailable from calflora"
"Polycarpon tetraphyllum","Caryophyllaceae","Polycarpon","tetraphyllum","Polycarpon tetraphyllum var. tetraphyllum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unavailable from calflora"
"Sagina apetala","Caryophyllaceae","Sagina","apetala","Sagina apetala","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Sagina decumbens","Caryophyllaceae","Sagina","decumbens","Sagina decumbens subsp. occidentalis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Silene antirrhina","Caryophyllaceae","Silene","antirrhina","Silene antirrhina","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Silene gallica","Caryophyllaceae","Silene","gallica","Silene gallica","determinate",0,1,0,"drepanium","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"Silene laciniata","Caryophyllaceae","Silene","laciniata","Silene laciniata ssp. laciniata","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"red",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Silene multinervia","Caryophyllaceae","Silene","multinervia","Silene multinervia","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Spergularia bocconi","Caryophyllaceae","Spergularia","bocconi","Spergularia bocconi","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Spergularia macrotheca","Caryophyllaceae","Spergularia","macrotheca","Spergularia macrotheca var. macrotheca","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Spergularia marina","Caryophyllaceae","Spergularia","marina","Spergularia marina","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Spergularia villosa","Caryophyllaceae","Spergularia","villosa","Spergularia villosa","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Stellaria media","Caryophyllaceae","Stellaria","media","Stellaria media","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"Stellaria nitens","Caryophyllaceae","Stellaria","nitens","Stellaria nitens","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,NA
"Stellaria pallida","Caryophyllaceae","Stellaria","pallida","Stellaria pallida","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unavailable from calflora"
"Aphanisma blitoides","Chenopodiaceae","Aphanisma","blitoides","Aphanisma blitoides",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Arthrocnemum subterminale","Chenopodiaceae","Arthrocnemum","subterminale","Arthrocnemum subterminale",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex argentea","Chenopodiaceae","Atriplex","argentea","Atriplex argentea var. expansa",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex coulteri","Chenopodiaceae","Atriplex","coulteri","Atriplex coulteri",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex lentiformis","Chenopodiaceae","Atriplex","lentiformis","Atriplex lentiformis",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex leucophylla","Chenopodiaceae","Atriplex","leucophylla","Atriplex leucophylla",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex pacifica","Chenopodiaceae","Atriplex","pacifica","Atriplex pacifica",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex prostrata","Chenopodiaceae","Atriplex","prostrata","Atriplex prostrata",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex semibaccata","Chenopodiaceae","Atriplex","semibaccata","Atriplex semibaccata",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Atriplex watsonii","Chenopodiaceae","Atriplex","watsonii","Atriplex watsonii",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Beta vulgaris","Chenopodiaceae","Beta","vulgaris","Beta vulgaris subsp. maritima","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"Chenopodium berlandieri","Chenopodiaceae","Chenopodium","berlandieri","Chenopodium berlandieri","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"red",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"Chenopodium californicum","Chenopodiaceae","Chenopodium","californicum","Chenopodium californicum","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Chenopodium murale","Chenopodiaceae","Chenopodium","murale","Chenopodium murale","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Dysphania ambrosioides","Chenopodiaceae","Dysphania","ambrosioides","Dysphania ambrosioides","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Extriplex californica","Chenopodiaceae","Extriplex","californica","Extriplex californica","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
