name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
"Heriades bouyssoui Vachal, 1903",,,Heriades bouyssoui,,,Heriades bouyssoui
"Melitta katherinae Eardley, 2006",,,Melitta katherinae,,,Melitta katherinae
"Thrinchostoma perineti Benoist, 1962",,,Thrinchostoma perineti,,,Thrinchostoma perineti
"Thrinchostoma lemuriae Cockerell, 1910",,,Thrinchostoma lemuriae,,,Thrinchostoma lemuriae
"Thrinchostoma conjungens Blüthgen, 1933",,,Thrinchostoma conjungens,,,Thrinchostoma conjungens
"Thrinchostoma atrum Benoist, 1962",,,Thrinchostoma atrum,,,Thrinchostoma atrum
"Megachile edwardsi Friese, 1922",,,Megachile edwardsi,,,Megachile edwardsi
"Megachile dorsata Smith, 1853",,,Megachile dorsata,,,Megachile dorsata
"Eupetersia emini Blüthgen, 1928",,,Eupetersia emini,,,Eupetersia emini
"Nomia zonaria Walker, 1871",,,Nomia zonaria,,,Nomia zonaria
"Nomia rufitarsis Smith, 1875",,,Nomia rufitarsis,,,Nomia rufitarsis
"Nomia granulata Vachal, 1903",,,Nomia granulata,,,Nomia granulata
"Nomia crocisaeformis Bingham, 1903",,,Nomia crocisaeformis,,,Nomia crocisaeformis
"Nomia bouyssoui Vachal, 1903",,,Nomia bouyssoui,,,Nomia bouyssoui
"Meliturgula braunsi Friese, 1903",,,Meliturgula braunsi,,,Meliturgula braunsi
"Melitturga penrithorum Eardley, 1991",,,Melitturga penrithorum,,,Melitturga penrithorum
"Hylaeus perater Cockerell, 1936",,,Hylaeus perater,,,Hylaeus perater
"Hylaeus haygoodi Bridwell, 1919",,,Hylaeus haygoodi,,,Hylaeus haygoodi
"Megachile cyanescens Friese, 1904",,,Megachile cyanescens,,,Megachile cyanescens
Eupetersia (Nesoeupetersia) emini Blüthgen,3,,,emini,Eupetersia emini,Eupetersia emini
Thrinchostoma (Thrinchostoma) petersi Blüthgen,3,,,petersi,Thrinchostoma petersi,Thrinchostoma petersi
Thrinchostoma (Thrinchostoma) conjungens Blüthgen,3,,,conjungens,Thrinchostoma conjungens,Thrinchostoma conjungens
Thrinchostoma (Thrinchostoma) nachtigali Blüthgen,3,,,nachtigali,Thrinchostoma nachtigali,Thrinchostoma nachtigali
Thrinchostoma (Thrinchostoma) kandti Blüthgen,3,,,kandti,Thrinchostoma kandti,Thrinchostoma kandti
"Megachile eurymera Smith, 1853",,,Megachile eurymera,,,Megachile eurymera
Ashmeadiella bucconis denticulata,,,Ashmeadiella bucconis,,,Ashmeadiella bucconis
Ashmeadiella aridula astragali,,,Ashmeadiella aridula,,,Ashmeadiella aridula
Andrena cressonii infasciata,,,Andrena cressonii,,,Andrena cressonii
Osmia lignaria lignaria,,,Osmia lignaria,,,Osmia lignaria
Hoplitis producta gracilis,,,Hoplitis producta,,,Hoplitis producta
Melissodes communis communis,,,Melissodes communis,,,Melissodes communis
Apis mellifera mellifera,,,Apis mellifera,,,Apis mellifera
