"","sourceTaxonClassId","sourceTaxonClassName","sourceTaxonFamilyId","sourceTaxonFamilyName","sourceTaxonGenusId","sourceTaxonGenusName","sourceTaxonId","sourceTaxonIds","sourceTaxonKingdomId","sourceTaxonKingdomName","sourceTaxonName","sourceTaxonOrderId","sourceTaxonOrderName","sourceTaxonPathIds","sourceTaxonPathNames","sourceTaxonPathRankNames","sourceTaxonPhylumId","sourceTaxonPhylumName","sourceTaxonRank","sourceTaxonSpeciesId","sourceTaxonSpeciesName"
"4443",NA,NA,NA,"Andrenidae",NA,"Pseudopanugus","no:match","no:match",NA,NA,"Pseudopanugus sp. E1",NA,NA,NA,"Andrenidae | Pseudopanugus | Pseudopanugus sp. E1","family | genus | species",NA,NA,NA,NA,"Pseudopanugus sp. E1"
"8287",NA,"Insecta",NA,"Megachilidae",NA,"Megachile","ITIS:761232","GBIF:1335079 | ITIS:761232",NA,"Animalia","Megachile cincta",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Megachile | Megachile cincta","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Megachile cincta"
"8673",NA,"Insecta",NA,"Megachilidae",NA,"Coelioxys","ITIS:760749","EOL:2752619 | GBIF:1338661 | ITIS:760749 | NCBI:1879055 | WD:Q1957784",NA,"Animalia","Coelioxys octodentata",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Coelioxys | Coelioxys octodentata","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Coelioxys octodentata"
"106246",NA,"Insecta",NA,"Megachilidae",NA,"Osmia","GBIF:6139374","GBIF:6139374 | ITIS:1077556",NA,"Animalia","Osmia capensis",NA,"Hymenoptera",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Osmia | Osmia capensis","kingdom | phylum | class | order | family | genus | species",NA,"Arthropoda","species",NA,"Osmia capensis"
"168080",NA,"Insecta",NA,"Megachilidae",NA,"Megachile","GBIF:1335079","GBIF:1335079",NA,"Animalia","Megachile cincta",NA,"Hymenoptera",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile | Megachile cincta","kingdom | phylum | class | order | family | genus | species",NA,"Arthropoda","species",NA,"Megachile cincta"
"183852",NA,"Insecta",NA,"Megachilidae",NA,"Coelioxys","EOL:2752619","EOL:2752619 | GBIF:1338661 | INAT_TAXON:626639 | ITIS:760749 | NCBI:1879055 | WD:Q1957784",NA,"Animalia","Coelioxys octodentata",NA,"Hymenoptera",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys octodentata","kingdom | phylum | class | order | superfamily | family | genus | species",NA,"Arthropoda","species",NA,"Coelioxys octodentata"
