code,institution
NAUF-CPMAB-SPI,Host Spiders 
USGS-PWRC-US-CA-MX,Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees 
AMNH-BEE,North American Bee Collections 
AMNH-TTD,Tri-Trophic TCN 
ANSP-ORTH,Academy of Natural Sciences Entomology Collection – OrthopNet 
AMNH-IZC,American Museum of Natural History Invertebrate Zoology Collection 
AMNH,AMNH Arthropods 
CAES-CAES,Connecticut Agricultural Experiment Station Arthropod Collection 
NYSM-ARTH,New York State Museum Arthropod Collection 
RUBC-RUEM,Rutgers University Entomological Museum 
SOVT-FBL,State of Vermont Forest Biology Lab 
SIM-SIM-ENT,Staten Island Museum Entomology Collection 
UNHC-UNHC,University of New Hampshire Collection of Insects and Arthropods 
ANSP-ENT,Academy of Natural Sciences Entomology Collection - LepNet 
PSUC-ENTO,Frost Entomological Museum 
GPSC,Gregory P. Setliff Collection - Kutztown University 
MCZ,"Museum of Comparative Zoology, Harvard University "
SI-NMNH,Smithsonian Institution - National Museum of Natural History 
USNM-USNMENT,"United States National Museum, Entomology Collections "
UD-UDCC,University of Delaware Insect Research Collection 
UVM-VTZT,University of Vermont Zadock Thompson Zoological Collection-Invertebrates 
VPI-VTEC,Virginia Polytechnic Institute and State University Insect Collection 
WVW-ENT,West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection 
YPM-ENT,"Yale Peabody Museum, Entomology Division "
UMN-EXT,Minnesota Bee Atlas 
MNRJ-ARA,"Museu Nacional, Universidade Federal do Rio de Janeiro (MNRJ) and Pompilid hosts"
UNM-MBA,Predicting changes in bee assemblages following state transitions 
UU-UUIC,University of Utah Invertebrates Collection 
Xerces-BOMB,Xerces Society - Bumble Bee Watch 
BYU-OBSERV,Odonata records from the Brigham Young University Arthropod Museum 
VecB-Aggregate,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens) 
CAS-TYPE,California Academy of Sciences - Entomology Type Collection 
KNWR-ENT,Kenai National Wildlife Refuge Entomology Collection 
SCFS-ENTO,Sagehen Creek Field Station (UC-Berkeley) – Insects 
SDNHM-SDMC,San Diego Natural History Museum Entomology Department 
UCRC-ENT,"University of California Riverside, Entomology Research Museum "
UCSD-Bees,University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages 
RED-REDA,University of Redlands Arthropod Collection 
WSU-WSUC,Washington State University Collection 
BPBM-ENT,Bernice Pauahi Bishop Museum 
BLM-MLFO,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve 
CAS-ENT,California Academy of Sciences Entomology 
CSUEB-CSUEBNHM,California State University East Bay Natural History Museum 
EMEC-EMEC,Essig Museum of Entomology 
HDOA-HDOAPPC,"Hawaii Department of Agriculture, Plant Pest Control Branch "
UCSC-RMIC,"Kenneth S. Norris Center for Natural History, University of California Santa Cruz, Insect Collection "
UAM-KWP,KWP Lepidoptera Collection (Arctos)
LACM-LACMEC,Natural History Museum of Los Angeles County 
OSU-OSAC,Oregon State Arthropod Collection 
UCD-BMEC,R. M. Bohart Museum of Entomology 
SDSU-TAC,San Diego State University - Terrestrial Arthropods Collection 
SBMNH-SBMNHENT,Santa Barbara Museum of Natural History Entomology Collection 
UAM-ENTO,UAM Insect Collection 
UCSB-IZC,University of California Santa Barbara Invertebrate Zoology Collection 
GUAM-ESUG,University of Guam Insect Collection 
UHIM-UHIM,University of Hawaii Insect Museum 
WWU-WWUC,Western Washington University Insect Collection 
TPT,Parasite Tracker 
ANSP-PARA,Academy of Natural Sciences Entomology Collection – ParasiteTracker 
BPBM-ENT,Bernice Pauahi Bishop Museum 
BYU-BYUC,Brigham Young University Arthropod Museum 
CAS-ENT,California Academy of Sciences Entomology 
CU-CUAC,Clemson University Arthropod Collection 
DMNS-Para,Denver Museum of Nature & Science - Parasites 
FMNH-FMNHINS,"Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods "
INHS-INHSIC,Illinois Natural History Survey Insect Collection 
MPM-MPM ENT,"Milwaukee Public Museum, Invertebrate Zoology-Insect Collection "
MSB-PARA,Museum of Southwestern Biology Division of Parasitology - ParasiteTracker 
UNL-NSM,Nebraska State Museum - ParasiteTracker 
OSU-OSU,Ohio State C.A. Triplehorn Insect Collection 
OSAL-OSAL_Ar,Ohio State University Acarology Laboratory 
UTAH-PIPR,"Price Institute of Parasite Research, School of Biological Sciences, University of Utah "
TAMU-TAMUIC,Texas A&M University Insect Collection 
MSU-MSUC,The Albert J. Cook Arthropod Research Collection 
PU-PERC,The Purdue Entomological Research Collection 
UCSB-IZC,University of California Santa Barbara Invertebrate Zoology Collection 
UHIM-UHIM,University of Hawaii Insect Museum 
UMMZ-UMMZI,"University of Michigan Museum of Zoology, Division of Insects "
MIN-UMSP,University of Minnesota Insect Collection 
UWSP-PARA,University of Wisconsin-Stevens Point 
UWM-WIRC,Wisconsin Insect Research Collection 
AUMNH-ENT,Auburn University Museum of Natural History Entomology 
EGC-EGC_CRC,Eric G Chapman Coleoptera Research Collection 
FSCA,Florida State Collection of Arthropods 
USC-DMBC,Richard B. Dominick Moth and Butterfly Collection 
SEMO-SEMO,Southeast Missouri State University Invertebrate Museum 
KY-UKIC,University of Kentucky Insect Collection 
BROW-BCIC,The Broward College Insect Collection 
ABS-ARTHARCH,Archbold Biological Station Arthropod Collection 
EKUY,Branson Museum of Zoology - Arthropods 
CU-CUAC,Clemson University Arthropod Collection 
FLMNH-MGCL,"Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity "
UKY-HIC-HIC,Hymenoptera Institute Collection 
MISSA-MEM,Mississippi Entomological Museum 
TTRSNHM ,"Tall Timbers Research Station Natural History Museum, The Lepidoptera collection "
DCH-DCEC,The Davidson College Entomology Collection 
UCF-UCFC,The University of Central Florida Collection of Arthropods 
UCFC-SMFCA,"University of Central Florida, Stuart M. Fullerton Collection of Arthropods "
UFIFAS-UFFE,University of Florida Forestry Entomology Collection 
GMNH-UGCA,University of Georgia Collection of Arthropods 
UTC-UTCI,University of Tennessee at Chattanooga 
ASU-SIBR,Arizona State University - Social Insect Biodiversity Repository 
IAW-IAW-LC1,Ian Watkinson Lepidoptera Collection 
MNA-INV,Museum of Northern Arizona Invertebrate Collections 
MNA-GRCA,Museum of Northern Arizona – Grand Canyon National Park Collection 
MNA-PEFO,Museum of Northern Arizona – Petrified Forest National Park Collection 
MSB-PARA,Museum of Southwestern Biology Division of Parasitology - ParasiteTracker 
NAU-AGFR,Northern Arizona University - Agua Fria National Monument Collection 
RLMC,RL Minckley Insect and Plant Collection 
ASU-ASUCOB,Arizona State University Charles W. O'Brien Collection 
ASU-ASUHIC,Arizona State University Hasbrouck Insect Collection 
ASU-ASULOB,Arizona State University Lois B. O'Brien Collection 
