"","beeID","plantID","monthID","sourceID","y"
"965",3,25,6,7,0
"971",3,26,6,7,0
"974",3,28,6,7,0
"979",3,29,6,7,0
"981",3,30,6,7,0
"983",3,31,6,7,0
"989",3,32,6,7,0
"995",3,35,6,7,0
"1005",3,37,6,7,0
"1010",3,38,6,7,0
"1013",3,40,6,7,0
"1016",3,41,6,7,0
"1022",3,42,6,7,0
"1028",3,43,6,7,0
"1031",3,44,6,7,0
"1033",3,46,6,7,0
"1043",3,51,6,7,0
"1049",3,52,6,7,0
"1054",3,53,6,7,0
"1060",3,54,6,7,0
"1064",3,55,6,7,0
"1068",3,57,6,7,0
"1071",3,58,6,7,0
"1075",3,59,6,7,0
"1080",3,60,6,7,0
"1083",3,61,6,7,0
"1088",3,62,6,7,0
"1090",3,63,6,7,0
"1093",3,64,6,7,0
"1095",3,65,6,7,0
"1101",3,66,6,7,0
"1107",3,67,6,7,0
"1113",3,69,6,7,0
"1120",3,71,6,7,0
"1128",3,74,6,7,0
"1140",3,77,6,7,0
"1141",3,78,6,7,0
"1146",3,79,6,7,0
"1155",3,82,6,7,0
"1158",3,83,6,7,0
"1164",3,85,6,7,0
"1168",3,86,6,7,0
"1173",3,88,6,7,0
"1181",3,90,6,7,0
"1186",3,91,6,7,0
"1189",3,92,6,7,0
"1191",3,93,6,7,0
"1196",3,94,6,7,0
"1198",3,95,6,7,0
"1203",3,96,6,7,0
"1206",3,97,6,7,0
"1211",3,98,6,7,0
"1215",3,99,6,7,0
"1218",3,100,6,7,0
"1222",3,101,6,7,0
"1228",3,102,6,7,0
"1234",3,103,6,7,0
"1237",3,104,6,7,0
"1242",3,106,6,7,0
"1244",3,107,6,7,0
"1250",3,108,6,7,0
"1255",3,109,6,7,0
"1261",3,110,6,7,0
"1265",3,111,6,7,0
"1271",3,112,6,7,0
"1279",3,114,6,7,0
"1284",3,116,6,7,0
"1287",3,117,6,7,0
"1293",3,118,6,7,0
"1296",3,119,6,7,0
"1301",3,120,6,7,0
"1308",3,122,6,7,0
"1310",3,123,6,7,0
"1316",3,125,6,7,0
"1322",3,126,6,7,0
"1566",5,1,6,7,0
"1573",5,2,6,7,0
"1579",5,3,6,7,0
"1583",5,4,6,7,0
"1595",5,7,6,7,0
"1598",5,8,6,7,0
"1600",5,9,6,7,0
"1603",5,10,6,7,0
"1608",5,11,6,7,0
"1612",5,12,6,7,0
"1617",5,13,6,7,0
"1620",5,14,6,7,0
"1625",5,15,6,7,0
"1632",5,17,6,7,0
"1635",5,18,6,7,0
"1638",5,19,6,7,0
"1640",5,20,6,7,0
"1643",5,21,6,7,0
"1650",5,22,6,7,0
"1651",5,23,6,7,0
"1654",5,24,6,7,0
"1658",5,25,6,7,0
"1666",5,26,6,7,0
"1670",5,28,6,7,0
"1676",5,29,6,7,0
"1678",5,30,6,7,0
"1681",5,31,6,7,0
"1689",5,32,6,7,0
"1697",5,35,6,7,0
"1710",5,37,6,7,0
"1715",5,38,6,7,0
"1720",5,40,6,7,0
"1724",5,41,6,7,0
"1731",5,42,6,7,0
"1739",5,43,6,7,0
"1743",5,44,6,7,0
"1747",5,46,6,7,0
"1761",5,51,6,7,0
"1768",5,52,6,7,0
"1774",5,53,6,7,0
"1782",5,54,6,7,0
"1787",5,55,6,7,0
"1792",5,57,6,7,0
"1795",5,58,6,7,0
"1799",5,59,6,7,0
"1804",5,60,6,7,0
"1807",5,61,6,7,0
"1813",5,62,6,7,0
"1815",5,63,6,7,0
"1819",5,64,6,7,0
"1822",5,65,6,7,0
"1830",5,66,6,7,0
"1837",5,67,6,7,0
"1844",5,69,6,7,0
"1851",5,71,6,7,0
"1859",5,74,6,7,0
"1871",5,77,6,7,0
"1872",5,78,6,7,0
"1878",5,79,6,7,0
"1887",5,82,6,7,0
"1890",5,83,6,7,0
"1896",5,85,6,7,0
"1900",5,86,6,7,0
"1905",5,88,6,7,0
"1914",5,90,6,7,0
"1919",5,91,6,7,0
"1922",5,92,6,7,0
"1924",5,93,6,7,0
"1930",5,94,6,7,0
"1932",5,95,6,7,0
"1938",5,96,6,7,0
"1941",5,97,6,7,0
"1946",5,98,6,7,0
"1950",5,99,6,7,0
"1954",5,100,6,7,0
"1959",5,101,6,7,0
"1966",5,102,6,7,0
"1974",5,103,6,7,0
"1978",5,104,6,7,0
"1983",5,106,6,7,0
"1985",5,107,6,7,0
"1992",5,108,6,7,0
"1998",5,109,6,7,0
"2006",5,110,6,7,0
"2010",5,111,6,7,0
"2017",5,112,6,7,0
"2026",5,114,6,7,0
"2032",5,116,6,7,0
"2036",5,117,6,7,0
"2044",5,118,6,7,0
"2048",5,119,6,7,0
"2054",5,120,6,7,0
"2062",5,122,6,7,0
"2064",5,123,6,7,0
"2071",5,125,6,7,0
"2078",5,126,6,7,0
"2085",6,1,6,7,0
"2092",6,2,6,7,0
"2098",6,3,6,7,0
"2102",6,4,6,7,0
"2114",6,7,6,7,0
"2117",6,8,6,7,0
"2119",6,9,6,7,0
"2122",6,10,6,7,0
"2127",6,11,6,7,0
"2131",6,12,6,7,0
"2136",6,13,6,7,0
"2139",6,14,6,7,0
"2144",6,15,6,7,0
"2151",6,17,6,7,0
"2154",6,18,6,7,0
"2157",6,19,6,7,0
"2159",6,20,6,7,0
"2162",6,21,6,7,0
"2169",6,22,6,7,0
"2170",6,23,6,7,0
"2173",6,24,6,7,0
"2177",6,25,6,7,0
"2185",6,26,6,7,0
"2189",6,28,6,7,0
"2195",6,29,6,7,0
"2197",6,30,6,7,0
"2200",6,31,6,7,0
"2208",6,32,6,7,0
"2216",6,35,6,7,0
"2229",6,37,6,7,0
"2234",6,38,6,7,0
"2239",6,40,6,7,0
"2243",6,41,6,7,0
"2250",6,42,6,7,0
"2258",6,43,6,7,0
"2262",6,44,6,7,0
"2266",6,46,6,7,0
"2280",6,51,6,7,0
"2287",6,52,6,7,0
"2293",6,53,6,7,0
"2301",6,54,6,7,0
"2306",6,55,6,7,0
"2311",6,57,6,7,0
"2314",6,58,6,7,0
"2318",6,59,6,7,0
"2323",6,60,6,7,0
"2326",6,61,6,7,0
"2332",6,62,6,7,0
"2334",6,63,6,7,0
"2338",6,64,6,7,0
"2341",6,65,6,7,0
"2349",6,66,6,7,0
"2356",6,67,6,7,0
"2363",6,69,6,7,0
"2370",6,71,6,7,0
"2378",6,74,6,7,0
"2390",6,77,6,7,0
"2391",6,78,6,7,0
"2397",6,79,6,7,0
"2406",6,82,6,7,0
"2409",6,83,6,7,0
"2415",6,85,6,7,0
"2419",6,86,6,7,0
"2424",6,88,6,7,0
"2433",6,90,6,7,0
"2438",6,91,6,7,0
"2441",6,92,6,7,0
"2443",6,93,6,7,0
"2449",6,94,6,7,0
"2451",6,95,6,7,0
"2457",6,96,6,7,0
"2460",6,97,6,7,0
"2465",6,98,6,7,0
"2469",6,99,6,7,0
"2473",6,100,6,7,0
"2478",6,101,6,7,0
"2485",6,102,6,7,0
"2493",6,103,6,7,0
"2497",6,104,6,7,0
"2502",6,106,6,7,0
"2504",6,107,6,7,0
"2511",6,108,6,7,0
"2517",6,109,6,7,0
"2525",6,110,6,7,0
"2529",6,111,6,7,0
