Checklist names,Synonyms from DL,Notes
Apis mellifera,"Apis mellifica, emend; Apis gregaria; Apis cerifera; Apis adansonii; Apis caffra_homonym; Apis nigritarum; Apis daurica; Apis australis, unnecessary replacement name; Apis mellifica germanica; Apis mellifica var nigrita_homonym; Apis mellifica mellifica var lehzeni; Apis mellifica var banatica; Apis remipes armeniaca; Apis mellifera major; Apis mellifera nubica; Apis mellifera carpatica; Apis mellifica rodopica; Apis mellifica adami; Apis mellifera adami; Apis mellifica unicolor var friesei, unavailable; Apis mellifera adansonii; Apis (Apis) mellifera anatoliaca; Apis mellifera acervorum_homonym; Apis (Apis) mellifera artemisia, replacement name; Apis mellifera capensis; Apis mellifica carnica; Apis mellifera carniolica, emend; Apis mellifera carnica; Apis mellifica hymettea, unnecessary replacement name; Apis mellida_sic caucasia; Apis mellifera caucasica, emend; Apis mellifica var cecropia; Apis mellifera cecropia; Apis mellica cypria; Apis mellifera cypria; Apis mellifica intermissa iberica_homonym, unavailable; Apis mellifera iberica_homonym; Apis (Apis) mellifera iberiensis, replacement name; Apis mellifica unicolor var syriaca, unavailable; Apis (Apis) intermissa; Apis mellifera intermissa; Apis mellifera jemenitica; Apis fasciata_homonym; Apis mellifera lamarckii, replacement name; Apis mellifera ligustica; Apis liguria, nomen nudum; Apis liguria, nomen nudum; Apis mellifera var litorea; Apis mellifera macedonica; Apis; Apis mellifera var monticola; Apis mellica var remipes; Apis mellifera remipes; Apis mellifera armeniaca; Apis remipes transcaucasica; Apis mellifera ruttneri; Apis mellifica var sahariensis; Apis mellifera sahariensis; Apis mellifera scutellata; Apis siciliana, miscitation; Apis siciliana; Apis mellifica mellifica var siziliana, emend; Apis sicula_homonym; Apis mellifera simensis; Apis cerifera_homonym; Apis (Apis) mellifera sossimai, replacement name; Apis (Apis) mellifera syriaca; Apis mellifera taurica; Apis mellifera unicolor ",
Bombus californicus,Bombus dubius; Apathus californicus; Bombus neglectulus; Bombus (Fervidobombus) californicus ,
Bombus crotchii,Bombus nigrocinctus; Bremus crotchii var nigricaudus ,
Bombus melanopygus,"Bombus menestriesii, possible synonymy; Bombus lacustris; Bremus melanopygus var washingtonensis; Bombus edwardsii; Bombus melampygus; Bombus lapponicus var insularis_homonym ",
Bombus occidentalis,"Bombus proximus; Bombus howardii; Bombus howardi, emend; Bombus perixanthus; Bombus mckayi ; Bombus proximus var coloradensis; Bombus (Bombus) occidentalis nigroscutatus; Bremus terricola var severini; Bombus (Bombus) occidentalis mckayi, valid subspecies",
Bombus vosnesenskii,"Bombus flavifrons_homonym; Bombus columbicus, replacement name",
Ceratina acantha,Ceratina submaritima; Ceratina submaritima ehrhorni ,
Ceratina nanula,Ceratina nanula rigdenae,
Diadasia australis,"Melissodes australis; Diadasia australis petrinus; Diadasia australis californica; Diadasia (Coquillettapis) australis petrinus, valid subspecies; Diadasia (Coquillettapis) australis californica, valid subspecies",
Diadasia bituberculata,Melissodes bituberculata; Didasia_sic cinerea ,
Diadasia nigrifrons,Melissodes nigrifrons; Didasia_sic nerea; Coquillettapis melittoides; Diadasia nigrifrons var epileuca ,
Diadasia nitidifrons,Diadasia skinneri ,
Diadasia ochracea,Dasiapis ochracea; Diadasia blaisdelli; Diadasia olivacea ,
Diadasia rinconis,"Diadasia australis mimetica; Diadasia rinconis mimetica; Diadasia (Coquillettapis) rinconis mimetica, valid subspecies",
Epeolus minimus,Triepeolus minimus; Argyroselenis minima; Argyroselenis minimus; Epeolus eastwoodae; Epeolus beulahensis; Epeolus lutzi; Epeolus lutzi dimissus; Epeolus arciferus; Epeolus pilatei ,
Eucera actuosa,"Melissodes actuosa; Diadasia 3-cincta; Diadasia tricincta, emend; Synhalonia californica_homonym; Synhalonia fowleri; Synhalonia actuosa",
Eucera amsinckiae,Synhalonia amsinckiae ,
Eucera edwardsii,Melissodes edwardsii; Synhalonia edwardsii; Synhalonia edwardsii race angustior; Tetralonia edwardsii vagabunda ,
Eucera frater albopilosa,"Melissodes frater; Melissodes lata; Melissodes nigricornis; Synhalonia edwardsii race latior; Synhalonia albopilosa; Tetralonia lata race lautipes; Synhalonia frater lata; Synhalonia frater albopilosa; Eucera (Synhalonia) frater lata, valid subspecies;  Eucera frater ",
Eucera lunata,Synhalonia lunata ,
