genera,species,family,total_av,av_lower_mm,av_upper_mm,BYB_lower_mm,BYB_upper_mm,BEU_lower_mm,BEU_upper_mm,BW_lower_mm,BW_upper_mm,BHL_lower_mm,BHL_upper_mm
Pereirapis,,Halictidae,5,,5,,,,,,5,,
Plebeia,,Apidae,5.25,3,7.5,,,,,3,7.5,,
Protandrena,,Andrenidae,9.08,5.81,12.35,7.62,12.7,,,4,12,,
Protodufourea,,Halictidae,5.3475,4.655,6.04,3.81,5.08,,,5.5,7,,
Protosmia,rubifloris,Megachilidae,5.79,4.29,7.29,5.08,5.08,,,3.5,9.5,,
Protoxaea,,Andrenidae,20.545,16.66,24.43,20.32,22.86,,,13,26,,
Pseudaugochlora,,Halictidae,11.6,10.35,12.85,12.7,12.7,,,8,13,,
Pseudoanthidium,,Megachilidae,8.5,6,11,,,,,6,11,,
Pseudopanurgus,,Andrenidae,7.963333334,5.026666667,10.9,5.08,12.7,5,8,5,12,,
Ptilocleptis,,Halictidae,8,6,10,,,,,6,10,,
Ptiloglossa,,Colletidae,16.37,13.85,18.89,12.7,17.78,,,15,20,,
Ptilothrix,,Apidae,11.925,8.783333333,15.06666667,6.35,12.7,13,17.5,7,15,,
Rhopalolemma,,Apidae,6.4,4.8,8,,,,,4.8,8,,
Scaptotrigona,,Apidae,6,5,7,,,,,5,7,,
Scaura,,Apidae,4.75,4,5.5,,,,,4,5.5,,
Simanthedon,linsleyi,Apidae,13.1,11.08,15.12,10.16,15.24,,,12,15,,
Sphecodes,,Halictidae,9.136666669,4.526666667,13.74666667,5.08,15.24,4,11,4.5,15,,
Sphecodosoma,,Halictidae,5.18,4.09,6.27,1.27,3.81,8,9,3,6,,
Stelis,,Megachilidae,9.053333335,4.27,13.83666667,3.81,16.51,5,11,4,14,,
Svastra,,Apidae,14.82333334,9.54,20.10666667,7.62,20.32,12.5,20,8.5,20,,
Syntrichalonia,,Apidae,15.37,13.35,17.39,12.7,17.78,,,14,17,,
Temnosoma,,Halictidae,8.2,6.35,10.05,,,,,,,6.35,10.05
Tetragona,,Apidae,6.5,5,8,,,,,5,8,,
Tetragonisca,,Apidae,4.5,4,5,,,,,4,5,,
Tetraloniella,,Apidae,11.85,8.58,15.12,10.16,15.24,,,7,15,,
Tetrapedia,,Apidae,10.5,8,13,,,,,8,13,,
Thygater,,Apidae,13,10,16,,,,,10,16,,
Townsendiella,,Apidae,5,4,6,,,,,4,6,,
Trachusa,,Megachilidae,13.475,9.33,17.62,10.16,15.24,,,8.5,20,,
Triepeolus,,Apidae,12.41333333,9.386666667,15.44,10.16,20.32,8,16,,,10,10
Trigona,,Apidae,6,3,9,,,,,3,9,,
Trigonisca,,Apidae,3,2,4,,,,,2,4,,
Triopasites,,Apidae,5.4825,3.905,7.06,3.81,7.62,,,4,6.5,,
Xenoglossa,,Apidae,15.82333334,11.72,19.92666667,10.16,17.78,14,18,11,24,,
Xeralictus,,Halictidae,10.955,10.58,11.33,10.16,10.16,,,11,12.5,,
Xeroheriades,micheneri,Megachilidae,7.955,7.33,8.58,10.16,10.16,,,4.5,7,,
Xeromelecta,,Apidae,11.81,7.873333333,15.74666667,7.62,15.24,8,16,8,16,,
Xylocopa,,Apidae,18.39,12.58,24.2,10.16,25.4,15,23,,,,
Zacosmia,maculata,Apidae,6.9925,5.04,8.945,5.08,8.89,,,5,9,,
Zikanapis,,Colletidae,17,14,20,,,,,14,20,,
