"Family","Genus","Species","scientificName","Current Name Full","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes","resolvedPlantNames","New.Genus","New.Species"
"Lamiaceae","Salvia","mellifera","Salvia mellifera","Salvia mellifera Greene","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA,"Salvia mellifera","Salvia","mellifera"
"Lamiaceae","Stachys","bullata","Stachys bullata","Stachys bullata Benth.","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA,"Stachys bullata","Stachys","bullata"
"Lythraceae","Lythrum","californicum","Lythrum californicum","Lythrum californicum Torr. & A.Gray","determinate",0,1,0,"fascicle","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA,"Lythrum californicum","Lythrum","californicum"
"Lythraceae","Lythrum","hyssopifolia","Lythrum hyssopifolia","Lythrum hyssopifolia L.","determinate",0,1,0,"fascicle","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA,"Lythrum hyssopifolia","Lythrum","hyssopifolia"
"Nyctaginaceae","Abronia","maritima","Abronia maritima","Abronia maritima S. Watson","compound",0,0,1,"umbel","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,"Abronia maritima","Abronia","maritima"
"Nyctaginaceae","Abronia","umbellata","Abronia umbellata var. umbellata","Abronia umbellata Lam. var. umbellata","compound",0,0,1,"umbel","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,"Abronia umbellata","Abronia","umbellata"
"Onagraceae","Clarkia","davyi","Clarkia davyi","Clarkia davyi (Jeps.)H.Lewis&M.Lewis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"Clarkia davyi","Clarkia","davyi"
"Onagraceae","Clarkia","epilobioides","Clarkia epilobioides","Clarkia epilobioides (Torr. & A. Gray) A. Nelson & J.F. Macbr.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,"Clarkia epilobioides","Clarkia","epilobioides"
"Onagraceae","Clarkia","purpurea","Clarkia purpurea subsp. quadrivulnera","Clarkia purpurea (Curtis) A. Nelson & J.F. Macbr. subsp. quadrivulnera (Lindl.) H. Lewis & M. Lewis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,"Clarkia purpurea","Clarkia","purpurea"
"Onagraceae","Clarkia","unguiculata","Clarkia unguiculata","Clarkia unguiculata Lindl.","determinate",0,1,0,"raceme","bilateral",0,1,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,"Clarkia unguiculata","Clarkia","unguiculata"
