Order,Family,Genus,Species,scientificName,Current Name Full,resolvedPlantNames,New.Genus,New.Species
Malpighiales,Euphorbiaceae,Euphorbia,peplus,Euphorbia peplus,Euphorbia peplus L.,Euphorbia peplus,Euphorbia,peplus
Malpighiales,Euphorbiaceae,Euphorbia,spathulata,Euphorbia spathulata,Euphorbia spathulata Lam.,Euphorbia spathulata,Euphorbia,spathulata
Apiales,Apiaceae,Foeniculum,vulgare,Foeniculum vulgare,Foeniculum vulgare Mill.,Foeniculum vulgare,Foeniculum,vulgare
Caryophyllales,Frankeniaceae,Frankenia,salina,Frankenia salina,Frankenia salina (Molina) I.M. Johnst.,Frankenia salina,Frankenia,salina
Asterales,Asteraceae,Glebionis,coronaria,Glebionis coronaria,Glebionis coronaria (L.) Spach,Glebionis coronaria,Glebionis,coronaria
Asterales,Asteraceae,Helianthus,annuus,Helianthus annuus,Helianthus annuus L.,Helianthus annuus,Helianthus,annuus
Asterales,Asteraceae,Helminthotheca,echioides,Helminthotheca echioides,Helminthotheca echioides (L.) Holub,Helminthotheca echioides,Helminthotheca,echioides
Rosales,Rosaceae,Heteromeles,arbutifolia,Heteromeles arbutifolia,Heteromeles arbutifolia (Lindl.) M. Roem.,Heteromeles arbutifolia,Heteromeles,arbutifolia
Asterales,Asteraceae,Heterotheca,grandiflora,Heterotheca grandiflora,Heterotheca grandiflora Nutt.,Heterotheca grandiflora,Heterotheca,grandiflora
Brassicales,Brassicaceae,Hirschfeldia,incana,Hirschfeldia incana,Hirschfeldia incana (L.) Lagr.-Fossat,Hirschfeldia incana,Hirschfeldia,incana
Lamiales,Plantaginaceae,Keckiella,cordifolia,Keckiella cordifolia,Keckiella cordifolia (Benth.) Straw,Keckiella cordifolia,Keckiella,cordifolia
Asterales,Asteraceae,Pseudognaphalium,luteoalbum,Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum (L.) Hilliard & B.L. Burtt,Laphangium luteoalbum,Laphangium,luteoalbum
Asterales,Asteraceae,Layia,platyglossa,Layia platyglossa,Layia platyglossa (Fisch. & C.A. Mey.) A. Gray,Layia platyglossa,Layia,platyglossa
Asterales,Asteraceae,Lepidospartum,squamatum,Lepidospartum squamatum,Lepidospartum squamatum (A.Gray)A.Gray,Lepidospartum squamatum,Lepidospartum,squamatum
Fabales,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Lotus corniculatus L.,Lotus corniculatus,Lotus,corniculatus
Fabales,Fabaceae,Lupinus,albifrons,Lupinus albifrons var. albifrons,Lupinus albifrons Benth. var. albifrons,Lupinus albifrons,Lupinus,albifrons
Fabales,Fabaceae,Lupinus,albifrons,,,Lupinus albifrons var. albifrons,,
Fabales,Fabaceae,Lupinus,arboreus,Lupinus arboreus,Lupinus arboreus Sims,Lupinus arboreus,Lupinus,arboreus
Fabales,Fabaceae,Lupinus,bicolor,Lupinus bicolor,Lupinus bicolor Lindl.,Lupinus bicolor,Lupinus,bicolor
Fabales,Fabaceae,Lupinus,concinnus,Lupinus concinnus,Lupinus concinnus J. Agardh,Lupinus concinnus,Lupinus,concinnus
Fabales,Fabaceae,Lupinus,hirsutissimus,Lupinus hirsutissimus,Lupinus hirsutissimus Benth.,Lupinus hirsutissimus,Lupinus,hirsutissimus
Fabales,Fabaceae,Lupinus,microcarpus,Lupinus microcarpus var. microcarpus,Lupinus microcarpus Sims var. microcarpus,Lupinus microcarpus,Lupinus,microcarpus
Fabales,Fabaceae,Lupinus,microcarpus,,,Lupinus microcarpus var. microcarpus,,
Fabales,Fabaceae,Lupinus,succulentus,Lupinus succulentus,Lupinus succulentus K. Koch,Lupinus succulentus,Lupinus,succulentus
Fabales,Fabaceae,Lupinus,truncatus,Lupinus truncatus,Lupinus truncatus Nutt.,Lupinus truncatus,Lupinus,truncatus
Myrtales,Lythraceae,Lythrum,californicum,Lythrum californicum,Lythrum californicum Torr. & A.Gray,Lythrum californicum,Lythrum,californicum
Myrtales,Lythraceae,Lythrum,hyssopifolia,Lythrum hyssopifolia,Lythrum hyssopifolia L.,Lythrum hyssopifolia,Lythrum,hyssopifolia
