fullcode,institutionfull,institution
VTST,Vermont State Bee Database,Vermont State Bee Database
BIG4-VSIC,Viktor Senderov Insect Collection ,Viktor Senderov Insect Collection 
VPI-VTEC,Virginia Polytechnic Institute and State University Insect Collection ,Virginia Polytechnic Institute and State University Insect Collection 
WSU-WSUC,Washington State University Collection ,Washington State University Collection 
WVW-ENT,West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection ,West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection 
WWU-WWUC,Western Washington University Insect Collection ,Western Washington University Insect Collection 
WICH-WICHI,Wichita State University Collection ,Wichita State University Collection 
UI-WFBM,William F. Barr Entomological Museum ,William F. Barr Entomological Museum 
UWM-WIRC,Wisconsin Insect Research Collection ,Wisconsin Insect Research Collection 
WWD-WWD,World Weevil Database ,World Weevil Database 
Xerces-BOMB,Xerces Society - Bumble Bee Watch ,Xerces Society - Bumble Bee Watch 
YPM-ENT,"Yale Peabody Museum, Entomology Division ","Yale Peabody Museum, Entomology Division "
UVM-UCC,Zadock Thompson Zoological Collections - Caribbean Island Biogeography (CARBIO) Arachnid Collection ,Zadock Thompson Zoological Collections - Caribbean Island Biogeography (CARBIO) Arachnid Collection 
