fullcode,institutionfull,institution
CONABIO-CMZ,"Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM ","Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM "
CONABIO-CCNBM,Computarización de la Colección Nacional de insectos Dr. Alfredo Barrera Marín del Museo de Historia Natural de la Ciudad de México ,Computarización de la Colección Nacional de insectos Dr. Alfredo Barrera Marín del Museo de Historia Natural de la Ciudad de México 
CONABIO-CLMZ,"Computarización y actualización de la curación de la Colección de Lepidóptera del Museo de Zoología ""Alfonso L. Herrera"" y su base de datos MARIPOSA. ","Computarización y actualización de la curación de la Colección de Lepidóptera del Museo de Zoología ""Alfonso L. Herrera"" y su base de datos MARIPOSA. "
CAES-CAES,Connecticut Agricultural Experiment Station Arthropod Collection ,Connecticut Agricultural Experiment Station Arthropod Collection 
CUIC,Cornell University Insect Collection,Cornell University Insect Collection
CSG-CSG,Crispin S. Guppy Collection ,Crispin S. Guppy Collection 
DART,Dartmouth College Insect Collection,Dartmouth College Insect Collection
DAR,"David A. Rider Collection, North Dakota State University","David A. Rider Collection, North Dakota State University"
DBG-DBGA,Denver Botanic Gardens Collection of Arthropods ,Denver Botanic Gardens Collection of Arthropods 
DMNS-Arac,Denver Museum of Nature & Science - Arachnology ,Denver Museum of Nature & Science
DMNS-Ento,Denver Museum of Nature & Science - Entomology ,Denver Museum of Nature & Science
DMNS-Para,Denver Museum of Nature & Science - Parasites ,Denver Museum of Nature & Science
DAWIC-DAWIC,Derek A. Woller Insect Collection ,Derek A. Woller Insect Collection 
CONABIO-RBTC,"Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas","Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas"
CONABIO-DIBT,"Diversidad de ocho grupos de insecta (Odonata, Lycidae, Phengodidae, Lampyridae, Cantharidae, Cerambycidae, Syrphidae y Vespidae) en tres regiones con","Diversidad de ocho grupos de insecta (Odonata, Lycidae, Phengodidae, Lampyridae, Cantharidae, Cerambycidae, Syrphidae y Vespidae) en tres regiones con"
DUGWAY-DUG-ENT,Dugway Proving Ground Natural History Collection ,Dugway Proving Ground Natural History Collection 
EVG-EVGC,Ed V Gage Collection ,Ed V Gage Collection 
UMNH-ENT,Entomology Collection at the Natural History Museum of Utah ,Entomology Collection at the Natural History Museum of Utah 
EGC-EGC_CRC,Eric G Chapman Coleoptera Research Collection ,Eric G Chapman Coleoptera Research Collection 
CONABIO-EMBN,Escarabajos y moscas de los bosques de niebla del sureste mexicano (Coleoptera: Scarabaeoidea; Diptera: Syrphidae y Calliphoridae) ,Escarabajos y moscas de los bosques de niebla del sureste mexicano (Coleoptera: Scarabaeoidea; Diptera: Syrphidae y Calliphoridae) 
EMEC-EMEC,Essig Museum of Entomology ,Essig Museum of Entomology 
CONABIO-FIC,Fauna de insectos sociales del estado de Campeche ,Fauna de insectos sociales del estado de Campeche 
FMNH-FMNHINS,"Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods ","Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods "
F,"Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods ","Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods "
FLMNH-MGCL,"Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity ","Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity "
FSCA,Florida State Collection of Arthropods ,Florida State Collection of Arthropods 
PSUC-ENTO,Frost Entomological Museum ,Frost Entomological Museum 
SCAN,General Research Observations ,General Research Observations 
GSC,Gerald Stage Collection,Gerald Stage Collection
GPSC,Gregory P. Setliff Collection - Kutztown University ,Gregory P. Setliff Collection - Kutztown University 
HNU-HNUSEL,Hannam University Systematic Entomology Laboratory ,Hannam University Systematic Entomology Laboratory 
HDOA-HDOAPPC,"Hawaii Department of Agriculture, Plant Pest Control Branch ","Hawaii Department of Agriculture, Plant Pest Control Branch "
