"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"11","Andrena hypoleuca","Andrena (Simandrena) hypoleuca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Andrena macrocephala","Andrena nigripes","Andrena macrocephala","Andrena peratra","Andrena macrocephala tetleyi","Andrena (Oligandrena) macrocephala","Andrena (Melandrena) nigripes","Andrena (Andrena) semifulva Viereck","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","Andrena nigrocaerulea","Andrena seattlensis","Andrena epileuca","Andrena lustrans","Andrena (Euandrena) nigrocaerulea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","Andrena oenotherae","Andrena (Melandrena) oenotherae","Andrena (Onagrandrena) convallaria convallaria Linsley and","Andrena (Onagrandrena) convallaria subhyalina Linsley and","Andrena (Onagrandrena) oraria oraria Linsley and","Andrena (Onagrandrena) oraria actitis Linsley and","Andrena (Onagrandrena) oenotherae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","Andrena pallidifovea","Pterandrena pallidifovea","Andrena (Pterandrena) plumifera","Andrena (Ptilandrena) pediculihirta","Andrena (Stenandrena) pallidifovea","Andrena (Stenandrena) essigi","Andrena (Stenandrena) vexabilis","Andrena (Simandrena) pallidifovea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","Andrena perimelas","Andrena meadowsi","Andrena (Gymnandrena) perimelas","Andrena (Melandrena) perimelas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","Andrena piperi","Andrena (Micrandrena) piperi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","Andrena plana","Andrena (Scaphandrena) plana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","Andrena principalis","Andrena (Erandrena) principalis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andrena prunorum","Andrena kincaidii","Andrena pascoensis","Andrena prunorum gillettei","Andrena vernoni","Andrena arizonensis Viereck and","Andrena prunorum ","Andrena (Andrena) shasta","Andrena prunorum ","Andrena (Schizandrena) prunorum","Andrena (Andrena) sinaloa","Andrena (Plastandrena) prunorum sinaloa Viereck","Andrena (Plastandrena) prunorum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","Andrena sola","Andrena (Andrena) sola","Andrena carissima","Andrena microdonta","Andrena ensenadensis","Andrena (Cryptandrena) sola","Andrena (Cryptandrena) carissima","Andrena (Cryptandrena) microdonta","Andrena (Cryptandrena) ensenadensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","Andrena suavis","Andrena (Ptilandrena) suavis","Andrena (Euandrena) suavis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","Andrena subaustralis","Andrena (Cryptandrena) subaustralis","Andrena viridinitens","Andrena (Tylandrena) subaustralis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","Andrena submoesta","Andrena (Parandrena) submoesta","Diandrena marinensis","Andrena (Diandrena) submoesta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","Andrena subtilis","Andrena (Cryptandrena) subtilis","Andrena seminigra","Andrena semicyanea","Andrena (Tylandrena) subtilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","Andrena vandykei","Andrena (Micrandrena) solutula","Andrena (Derandrena) vandykei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","Calliopsis","Calliopsis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","Heterosarus californicus","Calliopsis californicus","Heterosarus (Pterosarus) californicus","Pseudopanurgus californicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","Panurginus armaticeps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","Panurginus gracilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","Panurginus melanocephalus","Panurginus morrisoni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","Perdita layiae","Perdita layiae basalicola Cockerell ","Perdita (Pygoperdita) layiae excisa Timberlake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
