"","mod_name","beta_direction","proportion"
"1","Bee species model","social greater than solitary",0.957966666666667
"2","Bee family model","social greater than solitary",1
"3","Plant species model","social greater than solitary",1
"4","Plant family model","social greater than solitary",1
"5","Bee and plant family model","social greater than solitary",0.981633333333333
"6","No bee and plant family model","social greater than solitary",1
