"","mod_name","beta_direction","proportion"
"1","Bee species model","Not bowl greater than Bowl",1
"2","Bee family model","Not bowl greater than Bowl",1
"3","Plant species model","Not bowl greater than Bowl",0.741666666666667
"4","Plant family model","Not bowl greater than Bowl",0.4502
"5","Bee and plant family model","Not bowl greater than Bowl",0.970116666666667
"6","No bee and plant family model","Not bowl greater than Bowl",0.9883
