"","mod_name","beta_direction","proportion"
"1","Bee species model","Not striped greater than Striped",0.129483333333333
"2","Bee family model","Not striped greater than Striped",1
"3","Plant species model","Not striped greater than Striped",1
"4","Plant family model","Not striped greater than Striped",1
"5","Bee and plant family model","Not striped greater than Striped",1
"6","No bee and plant family model","Not striped greater than Striped",1
